rank;best_yield;iteration;repetition;best_unc;max_unc;av_unc;std_unc;av_unc_train;av_unc_test;tota_av_unc
1;0.3396179083473221;121;75;0.26032834380316033;0.2695146640155047;0.22878995705856164;0.018122126412343745;0.17921447987972514;0.23314361086180224;0.22878995705856164
3;0.2992788548877756;121;76;0.23728924323923933;0.241245024896582;0.22708422220285238;0.008361111294249289;0.20754821145836277;0.22879984920874236;0.22708422220285238
4;0.39179739462921787;122;71;0.2512551298087311;0.2944136173798365;0.2570466893378786;0.02039181694991085;0.16698861622035033;0.2650249027607638;0.2570466893378786
18;0.3476191135910022;122;72;0.2542746097798313;0.25721979382265636;0.23132939640102493;0.013896566867877123;0.17863441778187464;0.23599762625743442;0.23132939640102493
3;0.32472609959690246;123;62;0.2224795423842461;0.2671819444622672;0.2335527333926982;0.014623256441308265;0.18228212865674642;0.2381343619010173;0.2335527333926982
5;0.3304830477790872;123;63;0.24109153519487886;0.29340396433151233;0.2503154843467407;0.018029034670409793;0.17569454549756372;0.25698373845666717;0.2503154843467407
6;0.2862714788692279;122;73;0.20813595555962394;0.23636907407012842;0.21697241447441926;0.00980332228210512;0.19250676117665522;0.21913981820384554;0.21697241447441926
2;0.408998427983875;123;64;0.24758383784947202;0.28549388014214977;0.24387901832414327;0.019536614280676032;0.16719659254382102;0.2507314904151508;0.24387901832414327
14;0.34606362499536036;123;65;0.25087447723735357;0.25087447723735357;0.22622506294252606;0.012039550035807527;0.18695551573097724;0.22973425652313254;0.22622506294252606
0;0.30812655334764016;123;66;0.21737707961585473;0.2511367538877224;0.2245955645615604;0.012427412666600624;0.19396539739527877;0.2273327284359941;0.2245955645615604
2;0.39244966313467267;124;60;0.24525336751711774;0.2817550876778249;0.2438264025226831;0.020022892108615988;0.16158898432537833;0.25123885966324927;0.2438264025226831
2;0.49092942501352876;123;70;0.266584493064579;0.3027926587830554;0.2579380074606505;0.022108043121860127;0.1652515325831534;0.2662206286199162;0.2579380074606505
2;0.3347153905659215;124;61;0.22189348760118716;0.2601553978973677;0.22736444784086465;0.016900603257292927;0.16618617741284358;0.23287874191067212;0.22736444784086465
2;0.4136463286817039;123;67;0.239340820771892;0.28454285932589596;0.24250855541052752;0.02048270391777056;0.1699950244116825;0.24898848796787107;0.2425085554105275
0;0.3670349013401905;123;69;0.22538726258173467;0.26599683166547716;0.22796202333696167;0.017394250821178476;0.16507126460061736;0.23358204858574133;0.22796202333696167
1;0.33072511750966416;123;68;0.23495581254273387;0.2629634507752996;0.23846673908162766;0.012124660449867784;0.19804107204923646;0.24207924549728815;0.23846673908162766
2;0.3115649506795872;122;74;0.21848142415987137;0.2609696522752026;0.22500030366550575;0.014431766689086278;0.17961638705129512;0.22902084907782067;0.22500030366550572
2;0.363708341735279;122;77;0.21980376732944723;0.25999351265581133;0.23047968544656136;0.01580751326544288;0.16663182902878718;0.236135944874075;0.2304796854465613
1;0.3392919887819761;122;75;0.2589119338686949;0.2685720783373793;0.2284328757123577;0.018100703190436943;0.17809968941394136;0.2328918752072564;0.2284328757123577
3;0.29581872873459214;122;76;0.23546494721059913;0.2392665466087991;0.2232487662505437;0.008716430568651167;0.2013292143043218;0.22519061174542523;0.2232487662505437
4;0.3854045311681277;123;71;0.2563455779822998;0.29790828842358696;0.2625612017460533;0.019560504274328504;0.17711961603488904;0.27019640727768923;0.2625612017460533
4;0.32631150432860057;124;62;0.22907890888599552;0.2665599688491388;0.23529697780981398;0.01436655106911593;0.18530514481722374;0.23980298404832284;0.23529697780981398
18;0.35309377581765905;123;72;0.2502703907439573;0.2536027398910394;0.2282618985658754;0.01400736737606318;0.17586476799121836;0.23294419534063196;0.2282618985658754
7;0.33254863382560784;124;63;0.2673435984123654;0.2927594889387127;0.2499749972202978;0.01897460467999911;0.1740010043847572;0.2568229014716205;0.2499749972202978
7;0.2797514270106418;123;73;0.20934808790271053;0.24182649897037614;0.22001529257906605;0.010368593315650763;0.19503169557558508;0.22224786933256857;0.22001529257906605
15;0.33626900751764377;124;65;0.2460793224012907;0.2460793224012907;0.21993080032954052;0.012427104791421357;0.18059831016895536;0.22347602832840097;0.21993080032954052
2;0.4152098089518025;124;64;0.24725601333684855;0.28758347467418105;0.24455378609281261;0.01965521757283377;0.1676954288983413;0.2514814023906819;0.24455378609281264
0;0.31233724413582103;124;66;0.2173911288211488;0.2468909395976669;0.22317309546794076;0.012026159879154187;0.19033421271410483;0.22613302315405656;0.22317309546794076
2;0.3892631750507122;125;60;0.24208417028602863;0.28294805760663555;0.2426248112407228;0.02180743358250841;0.15923087106317566;0.2502060785295907;0.2426248112407228
2;0.48884227787508183;124;70;0.2646851579879267;0.30632618314486376;0.25609871531638034;0.02292942899556112;0.16137282916486081;0.2646368186103782;0.25609871531638034
4;0.33799816379715786;125;61;0.22398542974469607;0.2641262762034709;0.23032904480700656;0.01625072666474404;0.1711930959916827;0.23570504015385418;0.23032904480700656
2;0.4116261209636458;124;67;0.23694706367728763;0.27990801411743493;0.23877546956508824;0.019819547807014015;0.1667256516007271;0.24526966891318897;0.23877546956508824
1;0.32686545875869116;124;68;0.2304219419613415;0.2590030755058623;0.23405892503598294;0.011776968371701859;0.19305835656842413;0.23775450501850953;0.2340589250359829
0;0.36480125262919877;124;69;0.22812754009271738;0.2671757745428226;0.23010158977065573;0.016986931190421377;0.16984921815563853;0.2355324280922364;0.23010158977065576
2;0.3161986831720701;123;74;0.22147684978063586;0.26318519609371677;0.2236371750295568;0.015831048856530937;0.17850395856887424;0.22767035607497946;0.2236371750295568
2;0.3649338065652095;123;77;0.2155032094294146;0.25717407034869066;0.22803368486098327;0.015611354792488668;0.16509779809376754;0.23365774282741533;0.22803368486098327
3;0.3053643370587329;123;76;0.23774643707841944;0.24321409426123042;0.22751520894075106;0.00819978792443909;0.20518584016456998;0.2295105993420268;0.22751520894075106
0;0.3362656054132398;123;75;0.22416476223241874;0.2656246476387255;0.22314971821983895;0.018197028202383662;0.1724357349617465;0.22768160608545573;0.22314971821983895
4;0.3916721219218059;124;71;0.25700725059207047;0.29548286127906576;0.25888716139044393;0.019701076883551435;0.17141250708746392;0.2667716760082427;0.25888716139044393
4;0.33018373021075587;125;62;0.2274669572286333;0.26491983046526;0.2306677521684369;0.015006861724431941;0.18404223552119275;0.23490643550000456;0.2306677521684369
18;0.34224689426411586;124;72;0.25886538993606023;0.25886538993606023;0.23277030964889564;0.012914794971371244;0.18345506127283764;0.2372153320362337;0.23277030964889564
