inchikey;block;smiles;smiles+ chemdraw;flag;lowest_price;pubchem_cid;urls
GKKYTOFRFATPRJ-NSKAINJBNA-N;CNC(=O)c1cccc([Xe])c1;CNC(=O)c1cccc(I)c1.CNC(=O)c1cccc(Br)c1;CNC(=O)c1cccc(I)c1.CNC(=O)c1cccc(Br)c1;Y;55.0;3384366!!4294170;http://www.combi-blocks.com/cgi-bin/find.cgi?QL-4149!!http://www.combi-blocks.com/cgi-bin/find.cgi?CA-4392
WYNATLCOVVKWJB-UHFFFAOYNA-N;CC(C)(C)NS(=O)(=O)c1cccc([Xe])c1;CC(C)(C)NS(=O)(=O)c1cccc(Br)c1;CC(C)(C)NS(=O)(=O)c1cccc(Br)c1;Y;55.0;4820926;http://www.combi-blocks.com/cgi-bin/find.cgi?OT-0148
RTTYPOGSWQDHBF-KUJMMBRENA-N;O=C(O)c1cc([Xe])c(F)cc1F;O=C(O)c1cc(I)c(F)cc1F.O=C(O)c1cc(Br)c(F)cc1F;O=C(O)c1cc(I)c(F)cc1F.O=C(O)c1cc(Br)c(F)cc1F;Y;55.0;11129795!!11160728;http://www.combi-blocks.com/cgi-bin/find.cgi?QG-3897$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=109868&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/mno000199?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?CA-4015$$https://www.sigmaaldrich.com/catalog/product/aldrich/cds022089?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
QPVGUDDBOJYSHU-UHFFFAOYNA-N;Cc1ccc([Xe])c(C)c1N;Cc1ccc(I)c(C)c1N.Cc1ccc(Br)c(C)c1N;Cc1ccc(I)c(C)c1N.Cc1ccc(Br)c(C)c1N;Y;55.0;11448967!!12792330;http://www.combi-blocks.com/cgi-bin/find.cgi?QK-4293$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=112970&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?QI-6716
UBOLZPWYBASRRQ-UHFFFAOYNA-N;[Xe]c1cccc2c1CCNC2;Brc1cccc2c1CCNC2;Brc1cccc2c1CCNC2;Y;55.0;12823199;http://www.combi-blocks.com/cgi-bin/find.cgi?QA-5683$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=78325&ExtHyperLink=1
NQEKQAXACWCVPW-KUJMMBRENA-N;Cc1cc(N)c(C(=O)O)cc1[Xe];Cc1cc(N)c(C(=O)O)cc1Br;Cc1cc(N)c(C(=O)O)cc1Br;Y;55.0;13792251;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=32136&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/cds020040?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
AIBDNZARORHCIU-UHFFFAOYNA-N;COC(=O)c1c([Xe])cccc1OC;COC(=O)c1c(Br)cccc1OC;COC(=O)c1c(Br)cccc1OC;Y;55.0;13940770;http://www.combi-blocks.com/cgi-bin/find.cgi?CA-4963
XNZLRLLJGPPAMV-UHFFFAOYNA-N;O=[N+]([O-])c1c(O)cccc1[Xe];O=[N+]([O-])c1c(O)cccc1I.O=[N+]([O-])c1c(O)cccc1Br;O=[N+]([O-])c1c(O)cccc1I.O=[N+]([O-])c1c(O)cccc1Br;Y;55.0;53780879!!15700889;http://www.combi-blocks.com/cgi-bin/find.cgi?QC-7474!!http://www.combi-blocks.com/cgi-bin/find.cgi?SS-6380
IUSTWENVGCETII-UHFFFAOYNA-N;CC(C)(C)OC(=O)N1CCc2ccc([Xe])cc2C1;CC(C)(C)OC(=O)N1CCc2ccc(Br)cc2C1;CC(C)(C)OC(=O)N1CCc2ccc(Br)cc2C1;Y;55.0;15885175;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=60596&ExtHyperLink=1$$http://www.combi-blocks.com/cgi-bin/find.cgi?QA-0628
NFKKCRMSHUDFQJ-UHFFFAOYNA-N;CC(C)(C)OC(=O)N1CCN(C(=O)c2cccc([Xe])c2)CC1;CC(C)(C)OC(=O)N1CCN(C(=O)c2cccc(I)c2)CC1.CC(C)(C)OC(=O)N1CCN(C(=O)c2cccc(Br)c2)CC1;CC(C)(C)OC(=O)N1CCN(C(=O)c2cccc(I)c2)CC1.CC(C)(C)OC(=O)N1CCN(C(=O)c2cccc(Br)c2)CC1;Y;55.0;46532955!!17750965;http://www.combi-blocks.com/cgi-bin/find.cgi?QL-4168!!http://www.combi-blocks.com/cgi-bin/find.cgi?QM-3664
UNMCWBJHGOMTPD-UHFFFAOYNA-N;FC(F)(F)Oc1cccc(Cl)c1[Xe];FC(F)(F)Oc1cccc(Cl)c1Br;FC(F)(F)Oc1cccc(Cl)c1Br;Y;55.0;20269846;http://www.combi-blocks.com/cgi-bin/find.cgi?YF-3244
GDSJKDBKKOAUKJ-UHFFFAOYNA-N;N#Cc1cc([Xe])cc(C#N)c1;N#Cc1cc(Br)cc(C#N)c1;N#Cc1cc(Br)cc(C#N)c1;Y;55.0;21782728;http://www.combi-blocks.com/cgi-bin/find.cgi?QC-7322$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=149906&ExtHyperLink=1
OIEYETPCMMOYAC-UHFFFAOYNA-N;[Xe]c1ccccc1OC1CCCC1;Brc1ccccc1OC1CCCC1;Brc1ccccc1OC1CCCC1;Y;55.0;21914403;http://www.combi-blocks.com/cgi-bin/find.cgi?OT-1791
CALYQNQEXKDHDK-KUJMMBRENA-N;COC(=O)c1cc([Xe])cc(C(=O)O)c1;COC(=O)c1cc(I)cc(C(=O)O)c1.COC(=O)c1cc(Br)cc(C(=O)O)c1;COC(=O)c1cc(I)cc(C(=O)O)c1.COC(=O)c1cc(Br)cc(C(=O)O)c1;Y;55.0;15840391!!22593641;http://www.combi-blocks.com/cgi-bin/find.cgi?ST-0982$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=94175&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?QA-9688$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=78674&ExtHyperLink=1
SGLDJSKWIRABEA-UHFFFAOYNA-N;COc1ccc([Xe])cc1S(=O)(=O)NCCO;COc1ccc(Br)cc1S(=O)(=O)NCCO;COc1ccc(Br)cc1S(=O)(=O)NCCO;Y;55.0;24283178;http://www.combi-blocks.com/cgi-bin/find.cgi?OT-0302
PKVVNKKWZFRHNQ-UHFFFAOYNA-N;CCNc1ccc([Xe])cc1[N+](=O)[O-];CCNc1ccc(Br)cc1[N+](=O)[O-];CCNc1ccc(Br)cc1[N+](=O)[O-];Y;55.0;24902948;http://www.combi-blocks.com/cgi-bin/find.cgi?AN-1265$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=92876&ExtHyperLink=1
VIJZWHAQSWUNRY-UHFFFAOYNA-N;N#Cc1ccc([Xe])c(N)c1;N#Cc1ccc(I)c(N)c1.N#Cc1ccc(Br)c(N)c1;N#Cc1ccc(I)c(N)c1.N#Cc1ccc(Br)c(N)c1;Y;55.0;70701090!!44336425;http://www.combi-blocks.com/cgi-bin/find.cgi?QB-1677$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=101324&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?AN-3853
